region,programme_title,p1_site,p1_speciality,p2_site,p2_speciality,p3_site,p3_speciality,p4_site,p4_speciality,p4_description,p5_site,p5_speciality,p5_description,p6_site,p6_speciality,p6_description
East,ScotE01001,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Otolaryngology,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,Intensive Care Medicine,,Perth Royal Infirmary,General (Internal) Medicine,,Ninewells Hospital,Geriatric Medicine,Community based working across Tayside
East,ScotE01002,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Otolaryngology,Ninewells Hospital,Geriatric Medicine,Community based working across Tayside,Ninewells Hospital,Intensive Care Medicine,,Perth Royal Infirmary,General (Internal) Medicine,
East,ScotE01003,Ninewells Hospital,Otolaryngology,Ninewells Hospital,Infectious Diseases,Ninewells Hospital,Trauma and Orthopaedic Surgery,Perth Royal Infirmary,General (Internal) Medicine,,Ninewells Hospital,Geriatric Medicine,Community based working across Tayside,Ninewells Hospital,Intensive Care Medicine,
East,ScotE01004,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Medical Oncology,Ninewells Hospital,Geriatric Medicine,Westgate Medical Practice,General Practice,"Westgate Medical Practice, Charleston Drive, Dundee, DD2 4AD (T11171)",Ninewells Hospital,Gastroenterology,Gastroenterology and Hepatology,Constitution House,General Psychiatry,General Psychiatry and Addiction Psychiatry
East,ScotE01005,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,Ninewells Hospital,Medical Oncology,Ninewells Hospital,Gastroenterology,Gastroenterology and Hepatology,Constitution House,General Psychiatry,General Psychiatry and Addiction Psychiatry,Westgate Medical Practice,General Practice,"Westgate Medical Practice, Charleston Drive, Dundee, DD2 4AD (T11171)"
East,ScotE01006,Ninewells Hospital,Medical Oncology,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Trauma and Orthopaedic Surgery,Constitution House,General Psychiatry,General Psychiatry and Addiction Psychiatry,Westgate Medical Practice,General Practice,"Westgate Medical Practice, Charleston Drive, Dundee, DD2 4AD (T11171)",Ninewells Hospital,Gastroenterology,Gastroenterology and Hepatology
East,ScotE01007,Ninewells Hospital,Neurology,Ninewells Hospital,General Surgery,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Histopathology,,Ninewells Hospital,Medical Oncology,,Ninewells Hospital,Respiratory Medicine,
East,ScotE01008,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Neurology,Ninewells Hospital,General Surgery,Ninewells Hospital,Respiratory Medicine,,Ninewells Hospital,Histopathology,,Ninewells Hospital,Medical Oncology,
East,ScotE01009,Ninewells Hospital,General Surgery,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Neurology,Ninewells Hospital,Medical Oncology,,Ninewells Hospital,Respiratory Medicine,,Ninewells Hospital,Histopathology,
East,ScotE01010,Ninewells Hospital,Medical Oncology,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Chemical Pathology,,Ninewells Hospital,Geriatric Medicine,,Ninewells Hospital,Renal Medicine,
East,ScotE01011,Ninewells Hospital,General Surgery,Ninewells Hospital,Medical Oncology,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,Renal Medicine,,Ninewells Hospital,Chemical Pathology,,Ninewells Hospital,Geriatric Medicine,
East,ScotE01012,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Medical Oncology,Ninewells Hospital,Geriatric Medicine,,Ninewells Hospital,Renal Medicine,,Ninewells Hospital,Chemical Pathology,
East,ScotE02001,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,Urology,Ninewells Hospital,Geriatric Medicine,NHS Tayside,General Practice,,Ninewells Hospital,Renal Medicine,,Ninewells Hospital,Paediatrics,
East,ScotE02002,Ninewells Hospital,Urology,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,Paediatrics,,NHS Tayside,General Practice,,Ninewells Hospital,Renal Medicine,
East,ScotE02003,Ninewells Hospital,Geriatric Medicine,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,Urology,Ninewells Hospital,Renal Medicine,,Ninewells Hospital,Paediatrics,,NHS Tayside,General Practice,
East,ScotE02004,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General Surgery,Ninewells Hospital,Plastic Surgery,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine,NHS Tayside,General Practice,,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine
East,ScotE02005,Ninewells Hospital,General Surgery,Ninewells Hospital,Plastic Surgery,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine,NHS Tayside,General Practice,
East,ScotE02006,Ninewells Hospital,Plastic Surgery,Ninewells Hospital,General (Internal) Medicine,Ninewells Hospital,General Surgery,NHS Tayside,General Practice,,Ninewells Hospital,Gastroenterology,Gastroenterology and Acute Internal Medicine,Ninewells Hospital,Cardiology,Cardiology and Acute Internal Medicine
